id,title,description,availability,availability_date,expiration_date,link,mobile_link,image_link,price,sale_price,sale_price_effective_date,identifier_exists,gtin,mpn,brand,product_highlight,product_highlight,product_highlight,product_highlight,product_detail,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,condition,adult,color,size,size_type,size_system,gender,material,pattern,age_group,multipack,is bundle,unit_pricing_measure,unit_pricing_base_measure,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency,item_group_id,video_link,virtual_model_link,cost_of_goods_sold,google_product_category,product_type,shipping,shipping_weight,min_handling_time,max_handling_time,min_transit_time,max_transit_time
410 1.5LB,"1.5lb R-410A Refrigerant, Virgin","A 1.5-pound cylinder of R-410A, filled with virgin refrigerant and sealed at the factory. The small format suits service work that does not warrant opening a 25-pound jug, and the seal stays intact until a technician breaks it on site.
Home24Care carries it in the HVAC refrigerant range for professional and commercial use, and it is listed as compliant with EPA regulations. Charging and recovery should be left to a technician qualified to handle refrigerant.",in_stock,,,https://home24care.com/products/1-5lb-r-410a-refrigerant-virgin,,https://home24care.com/product-images/be864d65a254b8a0-feed.jpg,99.00 USD,,,,,410 1.5LB,Home24Care,"At igvagas, we provide premium R-410A HVAC Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,1.5 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > HVAC Refrigerants,US:::0.00 USD,4 lb,0,1,1,3
yf10,10lb Honeywell R-1234yf Refrigerant – Made in USA,"Honeywell R-1234yf, supplied in a 10-pound cylinder and made in the USA. The refrigerant is virgin grade and the cylinder is factory sealed, so nothing has been decanted or topped up between the fill line and the job.
Ten pounds sits well above the 8-ounce Honeywell cans that Home24Care also lists for this refrigerant, which makes it the size to reach for when the work is steady rather than occasional. It is grouped with the specialty refrigerants and listed as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/10lb-honeywell-r-1234yf-refrigerant-made-in-usa,,https://home24care.com/product-images/075a8d089f5f4aee-feed.jpg,120.00 USD,,,,,yf10,Honeywell,"At igvagas, we provide premium R-1234YF Eco-Friendly Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products ar",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,10 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Specialty Refrigerants,US:::0.00 USD,15 lb,0,1,1,3
2304109Dcom,11x7 Bellerose Greenhouse,"Glazing is what separates greenhouses at this size, and the Bellerose uses 10mm 4-wall polycarbonate rated at R-2.1, retaining 30% more heat than the standard 6mm twin-wall panels. It diffuses the light coming through, so plants get coverage without scorching.
The frame is FSC-certified kiln-dried cedar, which naturally resists rot, decay and insects. Inside there are 83 square feet of floor and 40 linear feet of staging shelves, some fixed and some foldable, and the entry door is sized wide enough for a wheelbarrow. A water spigot is fitted inside for watering without dragging a hose in.
Airflow is handled two ways, by one thermostat-activated exhaust fan and two casement windows. An integrated pergola with a trellis roof defines the entrance for climbing vines and hanging plants. Pro-Tect tested to 5,700 pounds of snow load and 100 mph winds, with a 5-year warranty backed by U.S.-based support.",in_stock,,,https://home24care.com/products/bellerose-greenhouse,,https://home24care.com/product-images/5bb1806f8d6fbe4f-feed.jpg,1399.60 USD,1199.60 USD,,,752113394100,2304109Dcom,Backyard Discovery,10mm 4-wall polycarbonate with R-2.1 insulation retains 30% more heat than standard 6mm twin-wall,1 thermostat-activated exhaust fan plus 2 casement windows for active and passive airflow,83 sq ft interior with 40 linear feet of fixed and foldable staging shelves,Interior water spigot included for watering inside the greenhouse,,https://home24care.com/product-images/01160b31b384b0c5-feed.jpg,https://home24care.com/product-images/241459d75fc2eddd-feed.jpg,https://home24care.com/product-images/6c70bc56a7269287-feed.jpg,https://home24care.com/product-images/ee088bb24abad332-feed.jpg,https://home24care.com/product-images/b16efe74b7b29bbd-feed.jpg,https://home24care.com/product-images/d7c96bac5548b03f-feed.jpg,https://home24care.com/product-images/4292ff939c0e9eda-feed.jpg,new,no,,11x7,,,,,,,,no,,,,,,bellerose-greenhouses,,,,Home & Garden > Lawn & Garden > Gardening > Greenhouses,Outdoor Living > Greenhouses,US:::0.00 USD,1076 lb,0,1,1,3
2404106com,11x7 Poppy Greenhouse,"The Poppy's trellis roof extends over three sides of the greenhouse, so hanging baskets and climbing vines get growing space outside the glazing as well as in. Inside, 78 square feet of floor carries 45 linear feet of upper and lower staging, including a freestanding four-tier rack for trays and supplies.
Panels are 10mm 4-wall polycarbonate rated R-2.1, holding 30% more heat than standard 6mm twin-wall and turning direct sun into diffused light. The cedar frame is FSC-certified and kiln-dried, and cedar resists rot, decay and insects without treatment, which matters in a structure that runs humid.
Ventilation comes from one thermostat-activated exhaust fan and two casement windows. A spigot inside comes with a collapsible hose. Backyard Discovery rates the Poppy Pro-Tect tested to 4,200 pounds of snow load and 100 mph winds, under a 5-year warranty.",in_stock,,,https://home24care.com/products/11x7-poppy-greenhouse,,https://home24care.com/product-images/0f41d4eada3b2fcb-feed.jpg,1399.60 USD,1199.60 USD,,,752113494107,2404106com,Backyard Discovery,10mm 4-wall polycarbonate with R-2.1 insulation retains 30% more heat than standard 6mm twin-wall,1 thermostat-activated exhaust fan plus 2 casement windows for active and passive airflow,78 sq ft interior with 45 linear feet of upper and lower staging shelves including a 4-tier rack,Interior water spigot with collapsible hose included for watering inside the greenhouse,,https://home24care.com/product-images/d7e6b33c7433044c-feed.jpg,https://home24care.com/product-images/43968d2c99ec33e3-feed.jpg,https://home24care.com/product-images/830bbe0a733c2753-feed.jpg,https://home24care.com/product-images/11e0f3ff31ddece7-feed.jpg,https://home24care.com/product-images/6531f0d8b1104f69-feed.jpg,https://home24care.com/product-images/ddf5b4b1210deaf2-feed.jpg,https://home24care.com/product-images/62b8e798228b716f-feed.jpg,new,no,,11x7,,,,,,,,no,,,,,,poppy-greenhouses,,,,Home & Garden > Lawn & Garden > Gardening > Greenhouses,Outdoor Living > Greenhouses,US:::0.00 USD,1032 lb,0,1,1,3
1234yf-gauge-20,1234yf Refrigerant Gauge,"A gauge for R-1234yf work, sold on its own. No refrigerant comes with it and it is not part of a charging kit, so treat it as a replacement or a spare rather than a complete setup.
Home24Care files it with the specialty refrigerant products because it is matched to 1234yf systems rather than to the older grades, and it sits in the catalog next to the 1234yf refrigerant itself. The listing does not state a connection size, so check the fitting on your own equipment before ordering.",in_stock,,,https://home24care.com/products/1234yf-refrigerant-gauge,,https://home24care.com/product-images/148a009554ab5fbf-feed.jpg,19.00 USD,,,,,1234yf-gauge-20,Home24Care,"At igvagas, we provide premium R-1234YF Eco-Friendly Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products ar",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Specialty Refrigerants,US:::0.00 USD,1 lb,0,1,1,3
2304123Bcom,12x7 Zalie Greenhouse,"At 12x7, the Zalie holds 86 square feet of growing space under a sloped roof with clean architectural lines. Roof and window panels are 10mm 4-wall polycarbonate rated R-2.1, which retains 30% more heat than the standard 6mm twin-wall most greenhouses use. The frame is FSC-certified, kiln-dried cedar that resists rot, decay, and insects through humidity and seasonal swings.
Airflow comes from one thermostat-activated exhaust fan plus two drop-down windows, so the house vents actively and passively as it warms. Twenty-three linear feet of staging shelves line the interior: the fixed shelves hold plants and supplies, while the foldable ones tuck down when a taller plant or a bigger project needs the floor. An interior water spigot is included. Pro-Tect™ tested to 4,400 lbs of snow load and 100 mph winds, with a 5-year warranty.",in_stock,,,https://home24care.com/products/zalie-greenhouse,,https://home24care.com/product-images/36ffc05bfc01a20e-feed.jpg,1199.60 USD,999.60 USD,,,752113394124,2304123Bcom,Backyard Discovery,10mm 4-wall polycarbonate with R-2.1 insulation retains 30% more heat than standard 6mm twin-wall,1 thermostat-activated exhaust fan plus 2 drop-down windows for active and passive airflow,86 sq ft interior with 23 linear feet of fixed and foldable staging shelves,Interior water spigot included for watering inside the greenhouse,,https://home24care.com/product-images/1beead5f090c5227-feed.jpg,https://home24care.com/product-images/616b1119fbf54b73-feed.jpg,https://home24care.com/product-images/fafd387ea9dcee9b-feed.jpg,https://home24care.com/product-images/a43dd46c26a7de05-feed.jpg,https://home24care.com/product-images/36d5143a79609d7f-feed.jpg,https://home24care.com/product-images/333662aaa74bf4f4-feed.jpg,https://home24care.com/product-images/a6b1c4f2cd7f6e54-feed.jpg,new,no,,12x7,,,,,,,,no,,,,,,,,,,Home & Garden > Lawn & Garden > Gardening > Greenhouses,Outdoor Living > Greenhouses,US:::0.00 USD,954 lb,0,1,1,3
2404113com,13x11 Bellerose XL Greenhouse,"A pergola with a trellis roof frames the entrance of the Bellerose XL, giving climbing vines and hanging plants somewhere to go before you step inside. The 13x11 greenhouse holds 143 square feet with 48 linear feet of upper and lower staging shelves, and the entry door is wide enough to push a wheelbarrow through, so raised planters and full-size plants are both workable.
Panels are 10mm 4-wall polycarbonate rated R-2.1, retaining 30% more heat than the standard 6mm twin-wall and diffusing light so plants get coverage without scorching. The FSC-certified, kiln-dried cedar frame resists rot, decay, and insects across years of seasonal exposure. One thermostat-activated exhaust fan and four casement windows handle ventilation, and an interior water spigot with collapsible hose is included. Pro-Tect™ tested to 9,200 lbs of snow load and 100 mph winds, with a 5-year warranty.",in_stock,,,https://home24care.com/products/bellerose-xl-greenhouse,,https://home24care.com/product-images/2650bb3a9781d458-feed.jpg,2319.60 USD,1999.60 USD,,,752113494114,2404113com,Backyard Discovery,10mm 4-wall polycarbonate with R-2.1 insulation retains 30% more heat than standard 6mm twin-wall,1 thermostat-activated exhaust fan plus 4 casement windows for active and passive airflow,143 sq ft interior with 48 linear feet of upper and lower staging shelves,Interior water spigot with collapsible hose included for watering inside the greenhouse,,https://home24care.com/product-images/6f213ec11a59a680-feed.jpg,https://home24care.com/product-images/9bf208a37f606870-feed.jpg,https://home24care.com/product-images/44f0ffaf7f1e7d83-feed.jpg,https://home24care.com/product-images/4e2a2a33f47e392a-feed.jpg,https://home24care.com/product-images/b9ef61682b65afaa-feed.jpg,https://home24care.com/product-images/0b218f6c23be6140-feed.jpg,https://home24care.com/product-images/b314bdfd5a4e0e92-feed.jpg,new,no,,13x11,,,,,,,,no,,,,,,bellerose-greenhouses,,,,Home & Garden > Lawn & Garden > Gardening > Greenhouses,Outdoor Living > Greenhouses,US:::0.00 USD,1515 lb,0,1,1,3
2404229com,14.5x12 Savannah Greenhouse,"A steep gabled roofline and exposed framing give the Savannah a chalet-like silhouette. Inside, 161 square feet and 55 linear feet of upper and lower staging shelves leave room for raised planters and tall crops, and the entry door is wide enough for a wheelbarrow.
A built-in stainless steel sink with water connections handles rinsing produce or tools without a trip back to the house, and an interior water spigot with collapsible hose covers watering. Glazing is 10mm 4-wall polycarbonate rated R-2.1, holding 30% more heat than standard 6mm twin-wall while scattering light evenly across the shelves. The FSC-certified, kiln-dried cedar frame resists rot, decay, and insects and takes seasonal change without warping. Two thermostat-activated exhaust fans and four casement windows manage airflow. Pro-Tect™ tested to 9,950 lbs of snow load and 100 mph winds, backed by a 5-year warranty.",in_stock,,,https://home24care.com/products/savannah-greenhouse,,https://home24care.com/product-images/0c9df7f83dc3aa79-feed.jpg,2399.60 USD,2159.60 USD,,,752113494220,2404229com,Backyard Discovery,10mm 4-wall polycarbonate with R-2.1 insulation retains 30% more heat than standard 6mm twin-wall,2 thermostat-activated exhaust fans plus 4 casement windows for active and passive airflow,161 sq ft interior with 55 linear feet of upper and lower staging shelves,Built-in stainless steel sink with water connections included,,https://home24care.com/product-images/a9f473fb68577fb9-feed.jpg,https://home24care.com/product-images/ff77f1d9f165ce02-feed.jpg,https://home24care.com/product-images/cf6da87703a1d204-feed.jpg,https://home24care.com/product-images/e1e31387a54fa45c-feed.jpg,https://home24care.com/product-images/01258ce5b0e39770-feed.jpg,https://home24care.com/product-images/fb1de598e9736177-feed.jpg,https://home24care.com/product-images/8ef2ef2328a80511-feed.jpg,new,no,,14.5x12,,,,,,,,no,,,,,,,,,,Home & Garden > Lawn & Garden > Gardening > Greenhouses,Outdoor Living > Greenhouses,US:::0.00 USD,1964.8 lb,0,1,1,3
2404212com,14x12 Larkspur Metal Greenhouse,"Floor area inside the Larkspur runs to 163 square feet, framed in black galvanized steel and aluminum on oversized 4.7-inch corner posts, with wood-tone composite paneling that needs no painting, sealing or staining. The glazing is 10mm four-wall polycarbonate rated R-2.1, which holds about 30 percent more heat than the 6mm twin-wall panels most greenhouses use and diffuses direct sun into softer light so plants are less likely to scorch in midsummer.
Ventilation works two ways, through two thermostat-activated exhaust fans and four windows with removable magnetic screens. Inside are 44 linear feet of upper and lower staging shelves built to hold up to 500 pounds each, an interior water spigot fed from an exterior inlet, and a collapsible hose. Residential-grade aluminum gutters carry roof runoff away from the foundation. Pro-Tect engineering rates the structure to 10,600 pounds of snow load and 100 mph winds, and a 5-year warranty covers every component.",in_stock,,,https://home24care.com/products/14x12-larkspur-metal-greenhouse,,https://home24care.com/product-images/be103fc894240dd0-feed.jpg,3999.60 USD,,,,752113494213,2404212com,Backyard Discovery,10mm 4-wall polycarbonate with R-2.1 insulation retains 30% more heat than standard 6mm twin-wall,2 thermostat-activated exhaust fans plus 4 windows with removable magnetic screens for active and passive airflow,"163 sq ft interior with 44 linear feet of upper and lower staging shelves, built to hold up to 500 lbs per shelf",Interior water spigot and exterior inlet with collapsible hose included for watering inside the greenhouse,,https://home24care.com/product-images/d922d9a017c9cfba-feed.jpg,https://home24care.com/product-images/150146ea337a86de-feed.jpg,https://home24care.com/product-images/a22be322b6dc9ef9-feed.jpg,https://home24care.com/product-images/c8226449dc810a46-feed.jpg,https://home24care.com/product-images/8571eb2ce275c499-feed.jpg,https://home24care.com/product-images/f8e81cb8ef20ff32-feed.jpg,https://home24care.com/product-images/2210d79317d05181-feed.jpg,new,no,,14x12,,,,,,,,no,,,,,,,,,,Home & Garden > Lawn & Garden > Gardening > Greenhouses,Outdoor Living > Greenhouses,US:::0.00 USD,2608 lb,0,1,1,3
22 2.2lb,2.2lb R-22 Refrigerant,"R-22 in a 2.2-pound cylinder, a quantity meant for equipment that still runs on the older refrigerant and needs a small amount rather than a full jug. The refrigerant is virgin and the cylinder is factory sealed.
The other R-22 listings here jump straight to 30-pound cylinders and pallets, so this is the one to order when the job is a top-up. Home24Care files it with the legacy refrigerants and lists it as compliant with EPA regulations. Work on R-22 equipment is trade work, and the cylinder is sold on that footing.",in_stock,,,https://home24care.com/products/2-2lb-r-22-refrigerant,,https://home24care.com/product-images/4c75e30fc185e010-feed.jpg,350.00 USD,,,,,22 2.2lb,Home24Care,"At igvagas, we provide premium R-22 Legacy Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,2.2 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Legacy Refrigerants,US:::0.00 USD,3 lb,0,1,1,3
